"No.","Ticker","Company","Sector","Industry","Country","Market Cap","P/E","Price","Change","Volume"
157,"AGNCN","AGNC Investment Corp.","Financial","REIT - Residential","USA",9242.04,9.02,25.99,0.81%,5606
158,"AGND","WisdomTree Negative Dur US Aggt Bd ETF","Financial","Exchange Traded Fund","USA",,,43.67,-0.27%,1436
159,"AGO","Assured Guaranty Ltd.","Financial","Surety & Title Insurance","Bermuda",4291.45,6.92,38.77,-0.79%,1341766
160,"AGQ","ProShares Ultra Silver","Financial","Exchange Traded Fund","USA",,,26.75,-0.75%,90944
161,"AGR","Avangrid, Inc.","Utilities","Gas Utilities","USA",15664.16,417.44,50.51,1.08%,397725
162,"AGRO","Adecoagro S.A.","Consumer Goods","Farm Products","Luxembourg",980.10,84.10,8.41,0.24%,455736
163,"AGRX","Agile Therapeutics, Inc.","Healthcare","Drugs - Generic","USA",9.17,,0.27,-4.59%,363164
164,"AGS","PlayAGS, Inc.","Services","Gaming Activities","USA",986.41,,28.75,1.73%,191955
165,"AGT","iShares MSCI Argentina & Glb Exps ETF","Financial","Exchange Traded Fund","USA",,,24.51,-2.23%,77196
166,"AGTC","Applied Genetic Technologies Corporation","Healthcare","Biotechnology","USA",77.94,,4.15,-1.78%,25286
167,"AGX","Argan, Inc.","Industrial Goods","Heavy Construction","USA",609.49,11.24,39.50,1.80%,121054
168,"AGYS","Agilysys, Inc.","Technology","Application Software","USA",372.72,,15.44,-5.57%,357388
169,"AGZ","iShares Agency Bond ETF","Financial","Exchange Traded Fund","USA",,,110.68,0.08%,30461
170,"AGZD","WisdomTree Interest RtHdgUS Aggt Bd ETF","Financial","Exchange Traded Fund","USA",,,47.98,-0.02%,6018
171,"AHC","A.H. Belo Corporation","Services","Publishing - Newspapers","USA",96.08,6.77,4.38,-0.57%,13509
172,"AHH","Armada Hoffler Properties, Inc.","Financial","REIT - Diversified","USA",983.37,38.79,15.44,-0.13%,325622
173,"AHL","Aspen Insurance Holdings Limited","Financial","Property & Casualty Insurance","Bermuda",2279.32,,38.45,-4.59%,1083966
174,"AHPA","Avista Healthcare Public Acquisition Corp.","Conglomerates","Conglomerates","USA",20.62,,10.10,0.00%,4500
175,"AHPAU","Avista Healthcare Public Acquisition Corp. Units","Conglomerates","Conglomerates","USA",708.24,,10.40,0.00%,0
176,"AHPI","Allied Healthcare Products, Inc.","Healthcare","Medical Appliances & Equipment","USA",9.53,,2.43,2.10%,2314
177,"AHT","Ashford Hospitality Trust, Inc.","Financial","REIT - Hotel/Motel","USA",805.23,,7.92,0.38%,232947
178,"AI","Arlington Asset Investment Corp.","Financial","Mortgage Investment","USA",291.58,,10.41,-0.67%,287805
179,"AIA","iShares Asia 50 ETF","Financial","Exchange Traded Fund","USA",,,61.84,-1.75%,28949
180,"AIEQ","AI Powered Equity ETF","Financial","Exchange Traded Fund","USA",,,28.92,0.52%,62033
181,"AIG","American International Group, Inc.","Financial","Property & Casualty Insurance","USA",50082.63,165.65,55.16,0.31%,4686372
182,"AIHS","Senmiao Technology Limited","Financial","Credit Services","China",117.01,,4.53,17.05%,15345
183,"AIMC","Altra Industrial Motion Corp.","Industrial Goods","Industrial Electrical Equipment","USA",1236.90,26.70,42.10,-1.86%,118425
184,"AIMT","Aimmune Therapeutics, Inc.","Healthcare","Biotechnology","USA",1763.10,,30.19,3.00%,343340
185,"AIN","Albany International Corp.","Industrial Goods","Textile Industrial","USA",2079.07,53.69,65.40,-0.46%,69476
